Fecha,Sin indexar,Indexadas,Impresiones
2026-06-07,51,7,
2026-06-08,66,7,8
2026-06-09,66,7,8
2026-06-10,66,7,7
2026-06-11,66,7,8
2026-06-12,72,6,5
2026-06-13,72,6,2
2026-06-14,72,6,16
2026-06-15,72,6,15
2026-06-16,72,6,16
2026-06-17,72,6,8
2026-06-18,72,6,11
2026-06-19,72,6,3
2026-06-20,72,6,5
2026-06-21,72,6,5
2026-06-22,72,6,12
2026-06-23,72,6,6
2026-06-24,72,6,4
2026-06-25,72,6,6
2026-06-26,72,6,7
2026-06-27,72,6,2
2026-06-28,72,6,9
2026-06-29,72,6,6
2026-06-30,71,7,5
2026-07-01,71,7,9
2026-07-02,71,7,4
2026-07-03,71,7,1
2026-07-04,71,7,5
2026-07-05,71,7,1
2026-07-06,71,7,8
2026-07-07,71,7,5
2026-07-08,71,7,5
2026-07-09,71,7,2
2026-07-10,78,8,3
2026-07-11,78,8,4
2026-07-12,78,8,1
2026-07-13,78,8,5
2026-07-14,78,8,2
2026-07-15,78,8,2
2026-07-16,78,8,0
2026-07-17,78,8,2
2026-07-18,78,8,5
2026-07-19,78,8,1
2026-07-20,78,8,7
2026-07-21,78,8,1
2026-07-22,78,8,4
2026-07-23,78,8,0
2026-07-24,81,8,2
2026-07-25,81,8,0
2026-07-26,81,8,0
2026-07-27,81,8,0
2026-07-28,81,8,1
2026-07-29,81,8,1
2026-07-30,81,8,0
2026-07-31,81,8,1
2026-08-01,81,8,0
2026-08-02,81,8,1
2026-08-03,81,8,2
2026-08-04,81,8,4
2026-08-05,81,8,3
2026-08-06,81,8,1
2026-08-07,85,9,1
2026-08-08,85,9,0
2026-08-09,85,9,3
2026-08-10,86,9,1
2026-08-11,86,9,1
2026-08-12,86,9,1
2026-08-13,86,9,0
2026-08-14,87,10,4
2026-08-15,87,10,7
2026-08-16,87,10,1
